motif_id,num_instances,avg_density_change,avg_ore_density_corr,avg_watermill_density_corr,avg_ore_lag,avg_watermill_lag,density_changes,ore_density_corrs,watermill_density_corrs
1,10,-0.5045034040617111,-0.28827289713579046,-0.24312949934936517,0.0,0.0,"[8.169647280803247, 21.355306483960703, 20.47785498613348, -28.500055199494454, 1.4162489150726287, 5.498568021465417, 6.834725677522329, 7.356683247022602, -14.392424513187507, -33.261588939915555]","[-0.9530122209292008, -0.6386520233288565, -0.9474255837408461, 0.9454943640119642, -0.8013179486243197, -0.18956267664390344, -0.5958932771612581, -0.7343595962210707, 0.19742278352697185, 0.8345772077526151]","[-0.9494364570082744, -0.5046307803320926, -0.9388248417896093, 0.9567046664379254, -0.6870132320219229, -0.13162249714749857, -0.8513959293451877, -0.52346001063587, 0.3016144868894913, 0.8967696014593872]"
2,20,-0.05949674043354207,0.2568987694432498,-0.23906330572136825,-0.5,0.0,"[-9.318412315903288, 2.854707337407717, -21.67507974749128, 2.601504965096183, -8.68882865855926, 4.392629251873586, -23.923329995815266, 8.198077317191064, 5.1822474785792565, 13.467054703551185, -0.39215601338969464, 13.803604192296689, 9.533871684307996, 2.0449289076159403, -27.47917796432398, 4.173955350619508, 12.229050346881877, -7.769156582473897, -0.9476409607889309, 20.522215894653755]","[-0.647130961900649, 0.4296168038423951, -0.8418248929670139, 0.9278005451752083, -0.8243214595564214, 0.8137238441155362, -0.11013887981091539, 0.7039827283788769, 0.3716103187303932, 0.8150417301888642, 0.5561586128317025, 0.6393781705582069, 0.50120663644757, 0.8294427773938136, -0.9406753020331268, 0.8322016947739123, 0.9356125891510875, -0.8051000950116804, 0.25799133866237645, 0.6933991898948604]","[0.24573744064229625, -0.8614964922318783, 0.9284139037258698, -0.7574778234973247, 0.9548255499897076, -0.8611071367332347, 0.7247389625615133, -0.9071036564688184, -0.6715404394123599, -0.9113606991762107, -0.29078995728734314, -0.9546631988602177, -0.7919444004838238, -0.15959962814654238, 0.8683773524022858, -0.5645133202934379, -0.8501126146642539, 0.9344903646959803, 0.03727361181969053, -0.893413933009263]"
3,4,22.524135699434055,-0.670154172896919,-0.5972986675624721,2.0,4.0,"[29.857287404157432, 37.03449627385157, 17.776546187575377, 5.428212932151837]","[-0.9810769106045177, -0.8189973263491135, -0.6045651073803809, -0.27597734725366363]","[-0.9818873845072067, -0.7945483067798702, -0.29624658081837635, -0.3165123981444349]"
4,2,15.826179347383913,-0.8997801195493513,-0.8428041438736738,0.0,0.0,"[9.440069735928091, 22.212288958839736]","[-0.9709290961060764, -0.8286311429926263]","[-0.870776463230614, -0.8148318245167336]"
5,6,-0.3203835417987951,0.4735930163092499,0.4782796186826716,0.0,0.0,"[-7.009844923278251, 27.346494694864532, -7.997113192438292, -5.034651344896474, -5.487029430108805, -3.74015705493548]","[0.7983381789601136, -0.8574530743717844, 0.8193568117513975, 0.9492576571545955, 0.7539982713399747, 0.3780602530212022]","[0.7306465743178832, -0.6668470454847873, 0.8048142007576276, 0.8462964029367027, 0.8525675072390133, 0.30220007232959023]"
6,8,-8.29821420767837,0.3261880908453843,-0.1926018273329344,-10.0,0.0,"[-25.705050905590724, -11.168351181163644, -15.889621765556967, 1.6495472295414402, 0.9401034512532078, 9.221776473548061, 4.379027196506513, -29.81314415996485]","[0.6307339129183576, 0.7826735838731825, 0.6183188521790762, -0.04659550635790623, 0.38169148818860665, -0.2722101235713556, -0.20504435057158846, 0.7199368701047018]","[-0.9346831160656109, -0.9665825888018288, -0.8555657365237463, 0.11812752974522267, 0.026227205148490675, 0.8406980240755688, 0.8677491664300748, -0.636785102671646]"
7,14,3.184062650473785,0.23197764757066738,0.22065307535484166,-3.0,0.0,"[-3.124502906397538, -7.8849383593794755, -1.4499207932112768, -7.408960739499435, 18.557547369649456, 2.111620641955369, 2.599380931730593, 4.9234550180499355, -1.0216164816185938, 2.110703491850245, 3.916261680064963, 8.892655080234135, 18.815081629585166, 3.5401105436194484]","[0.19851346075972953, -0.9210843978965337, -0.25176045697363014, -0.5456294746923093, 0.7893263682831735, -0.47106664789334135, 0.36378894236571246, 0.8393625290373508, 0.013034529445198076, 0.3740960066990602, 0.8747890238381495, 0.4321214235258202, 0.9605419711328748, 0.5916537883580889]","[0.17755596627219689, -0.9110391418717999, -0.5763923078450928, -0.7225627196071933, 0.9445546327356874, -0.46250115052502944, 0.7449210141170172, 0.9364663713351216, -0.08877946654392732, 0.1327089261364968, 0.7769009328394949, 0.576692836912864, 0.958531270363514, 0.6020858906484328]"
8,20,-6.409814378769079,-0.27188576896287986,-0.3234790946242129,0.0,0.0,"[15.358017213357698, -12.715906463581177, -8.611188723789837, -10.723246050300759, 3.937844569832123, -9.471450343668266, -6.916110899220712, -3.1172947911222764, -30.876327306027406, 1.6567600728508296, 10.818560613984573, 5.036396432132733, -0.7924843413311464, -5.070579165541858, -34.73894028319705, -14.178348514206618, -0.7004632288578705, -9.039137961711049, 6.893497778166875, -24.945886183150378]","[0.8794670148151622, -0.8642974327909095, -0.9206747958639038, -0.7237538306501581, 0.7060972742202305, -0.7227948783111204, -0.6606627867591941, -0.564085015902686, -0.8999050970952067, 0.24916961536660853, 0.8358672931679836, 0.7143092856401532, -0.20215525086812725, -0.605822902576435, -0.8199171490881768, -0.8951603148568391, -0.6236818862368849, -0.3100485648951055, 0.7506105222627942, -0.7602764788357812]","[0.9836840375167641, -0.8726133464175925, -0.9597537615156728, -0.885561968520783, -0.06908226799696376, -0.8668317347098669, -0.650888151063109, -0.3508204479340609, -0.9460499891736541, 0.5021434245851863, 0.9213296923940787, 0.7406844709946756, -0.5694923590034079, -0.4155810235291134, -0.5798551010883753, -0.9310769479675667, -0.8330730907922252, -0.6313633677673091, 0.8970508435065381, -0.9524308040018012]"
9,7,2.5510619228210936,-0.1914436987672161,-0.1266051488236318,0.0,0.0,"[-10.426507091823396, -55.55396743934034, 36.18809177188609, 10.139158084612973, 11.019872263846764, 25.689866720341342, 0.8009191502242174]","[0.8925310171280195, 0.7916545255740883, -0.8496046302360042, -0.8034068329122341, -0.8916175806945712, -0.9735303779633048, 0.49386798773349366]","[0.9288950837102754, 0.9542247841216762, -0.6146031281371417, -0.5590814537962826, -0.6420391485248571, -0.9105815196494191, -0.04305065948967355]"
10,7,12.300556725296799,-0.11894112793788404,-0.1436478357857315,0.0,0.0,"[13.958873883436127, 30.95012797467507, 68.31490999962307, -27.002836283519855, -5.445963529666187, 8.399856374873707, -3.0710713423443394]","[-0.9628382129954416, -0.9233444579333591, -0.9131215116975884, 0.8005636256129822, 0.8675309699018157, -0.6257317104987172, 0.92435340204512]","[-0.8119022959925556, -0.8417914346107501, -0.7544507140817704, 0.9504131164267055, 0.9379387230979944, -0.9452048341373691, 0.45946258879762525]"
